"profileID","respID","qID","altID","obsID","price","origin","processing","Specialty_Coffee"
6,4,5,2,53,30,"Brazil Central Plateau","Washed","SCA Score: 80"
7,4,5,3,53,11,"Colombia Cauca","Washed","SCA Score: 80"
6,4,6,1,54,30,"Brazil Central Plateau","Washed","SCA Score: 80"
2,4,6,2,54,30,"Brazil Central Plateau","Natural","SCA Score: 80"
5,4,6,3,54,11,"Brazil Central Plateau","Washed","SCA Score: 80"
11,4,7,1,55,11,"Colombia Cauca","Natural","SCA Score: 90"
12,4,7,2,55,30,"Colombia Cauca","Natural","SCA Score: 90"
6,4,7,3,55,30,"Brazil Central Plateau","Washed","SCA Score: 80"
16,4,8,1,56,30,"Colombia Cauca","Washed","SCA Score: 90"
1,4,8,2,56,11,"Brazil Central Plateau","Natural","SCA Score: 80"
15,4,8,3,56,11,"Colombia Cauca","Washed","SCA Score: 90"
9,4,9,1,57,11,"Brazil Central Plateau","Natural","SCA Score: 90"
5,4,9,2,57,11,"Brazil Central Plateau","Washed","SCA Score: 80"
14,4,9,3,57,30,"Brazil Central Plateau","Washed","SCA Score: 90"
15,4,10,1,58,11,"Colombia Cauca","Washed","SCA Score: 90"
9,4,10,2,58,11,"Brazil Central Plateau","Natural","SCA Score: 90"
13,4,10,3,58,11,"Brazil Central Plateau","Washed","SCA Score: 90"
1,4,11,1,59,11,"Brazil Central Plateau","Natural","SCA Score: 80"
14,4,11,2,59,30,"Brazil Central Plateau","Washed","SCA Score: 90"
12,4,11,3,59,30,"Colombia Cauca","Natural","SCA Score: 90"
10,4,12,1,60,30,"Brazil Central Plateau","Natural","SCA Score: 90"
13,4,12,2,60,11,"Brazil Central Plateau","Washed","SCA Score: 90"
4,4,12,3,60,30,"Colombia Cauca","Natural","SCA Score: 80"
7,4,13,1,61,11,"Colombia Cauca","Washed","SCA Score: 80"
15,4,13,2,61,11,"Colombia Cauca","Washed","SCA Score: 90"
16,4,13,3,61,30,"Colombia Cauca","Washed","SCA Score: 90"
12,4,14,1,62,30,"Colombia Cauca","Natural","SCA Score: 90"
4,4,14,2,62,30,"Colombia Cauca","Natural","SCA Score: 80"
3,4,14,3,62,11,"Colombia Cauca","Natural","SCA Score: 80"
5,4,15,1,63,11,"Brazil Central Plateau","Washed","SCA Score: 80"
11,4,15,2,63,11,"Colombia Cauca","Natural","SCA Score: 90"
10,4,15,3,63,30,"Brazil Central Plateau","Natural","SCA Score: 90"
13,4,16,1,64,11,"Brazil Central Plateau","Washed","SCA Score: 90"
7,4,16,2,64,11,"Colombia Cauca","Washed","SCA Score: 80"
11,4,16,3,64,11,"Colombia Cauca","Natural","SCA Score: 90"
3,5,1,1,65,11,"Colombia Cauca","Natural","SCA Score: 80"
8,5,1,2,65,30,"Colombia Cauca","Washed","SCA Score: 80"
9,5,1,3,65,11,"Brazil Central Plateau","Natural","SCA Score: 90"
14,5,2,1,66,30,"Brazil Central Plateau","Washed","SCA Score: 90"
3,5,2,2,66,11,"Colombia Cauca","Natural","SCA Score: 80"
1,5,2,3,66,11,"Brazil Central Plateau","Natural","SCA Score: 80"
2,5,3,1,67,30,"Brazil Central Plateau","Natural","SCA Score: 80"
16,5,3,2,67,30,"Colombia Cauca","Washed","SCA Score: 90"
8,5,3,3,67,30,"Colombia Cauca","Washed","SCA Score: 80"
4,5,4,1,68,30,"Colombia Cauca","Natural","SCA Score: 80"
10,5,4,2,68,30,"Brazil Central Plateau","Natural","SCA Score: 90"
2,5,4,3,68,30,"Brazil Central Plateau","Natural","SCA Score: 80"
8,5,5,1,69,30,"Colombia Cauca","Washed","SCA Score: 80"
6,5,5,2,69,30,"Brazil Central Plateau","Washed","SCA Score: 80"
7,5,5,3,69,11,"Colombia Cauca","Washed","SCA Score: 80"
6,5,6,1,70,30,"Brazil Central Plateau","Washed","SCA Score: 80"
2,5,6,2,70,30,"Brazil Central Plateau","Natural","SCA Score: 80"
5,5,6,3,70,11,"Brazil Central Plateau","Washed","SCA Score: 80"
11,5,7,1,71,11,"Colombia Cauca","Natural","SCA Score: 90"
12,5,7,2,71,30,"Colombia Cauca","Natural","SCA Score: 90"
6,5,7,3,71,30,"Brazil Central Plateau","Washed","SCA Score: 80"
16,5,8,1,72,30,"Colombia Cauca","Washed","SCA Score: 90"
1,5,8,2,72,11,"Brazil Central Plateau","Natural","SCA Score: 80"
15,5,8,3,72,11,"Colombia Cauca","Washed","SCA Score: 90"
9,5,9,1,73,11,"Brazil Central Plateau","Natural","SCA Score: 90"
5,5,9,2,73,11,"Brazil Central Plateau","Washed","SCA Score: 80"
14,5,9,3,73,30,"Brazil Central Plateau","Washed","SCA Score: 90"
15,5,10,1,74,11,"Colombia Cauca","Washed","SCA Score: 90"
9,5,10,2,74,11,"Brazil Central Plateau","Natural","SCA Score: 90"
13,5,10,3,74,11,"Brazil Central Plateau","Washed","SCA Score: 90"
1,5,11,1,75,11,"Brazil Central Plateau","Natural","SCA Score: 80"
14,5,11,2,75,30,"Brazil Central Plateau","Washed","SCA Score: 90"
12,5,11,3,75,30,"Colombia Cauca","Natural","SCA Score: 90"
10,5,12,1,76,30,"Brazil Central Plateau","Natural","SCA Score: 90"
13,5,12,2,76,11,"Brazil Central Plateau","Washed","SCA Score: 90"
4,5,12,3,76,30,"Colombia Cauca","Natural","SCA Score: 80"
7,5,13,1,77,11,"Colombia Cauca","Washed","SCA Score: 80"
15,5,13,2,77,11,"Colombia Cauca","Washed","SCA Score: 90"
16,5,13,3,77,30,"Colombia Cauca","Washed","SCA Score: 90"
12,5,14,1,78,30,"Colombia Cauca","Natural","SCA Score: 90"
4,5,14,2,78,30,"Colombia Cauca","Natural","SCA Score: 80"
3,5,14,3,78,11,"Colombia Cauca","Natural","SCA Score: 80"
5,5,15,1,79,11,"Brazil Central Plateau","Washed","SCA Score: 80"
11,5,15,2,79,11,"Colombia Cauca","Natural","SCA Score: 90"
10,5,15,3,79,30,"Brazil Central Plateau","Natural","SCA Score: 90"
13,5,16,1,80,11,"Brazil Central Plateau","Washed","SCA Score: 90"
7,5,16,2,80,11,"Colombia Cauca","Washed","SCA Score: 80"
11,5,16,3,80,11,"Colombia Cauca","Natural","SCA Score: 90"
3,6,1,1,81,11,"Colombia Cauca","Natural","SCA Score: 80"
8,6,1,2,81,30,"Colombia Cauca","Washed","SCA Score: 80"
9,6,1,3,81,11,"Brazil Central Plateau","Natural","SCA Score: 90"
14,6,2,1,82,30,"Brazil Central Plateau","Washed","SCA Score: 90"
3,6,2,2,82,11,"Colombia Cauca","Natural","SCA Score: 80"
1,6,2,3,82,11,"Brazil Central Plateau","Natural","SCA Score: 80"
2,6,3,1,83,30,"Brazil Central Plateau","Natural","SCA Score: 80"
16,6,3,2,83,30,"Colombia Cauca","Washed","SCA Score: 90"
8,6,3,3,83,30,"Colombia Cauca","Washed","SCA Score: 80"
4,6,4,1,84,30,"Colombia Cauca","Natural","SCA Score: 80"
10,6,4,2,84,30,"Brazil Central Plateau","Natural","SCA Score: 90"
2,6,4,3,84,30,"Brazil Central Plateau","Natural","SCA Score: 80"
8,6,5,1,85,30,"Colombia Cauca","Washed","SCA Score: 80"
6,6,5,2,85,30,"Brazil Central Plateau","Washed","SCA Score: 80"
7,6,5,3,85,11,"Colombia Cauca","Washed","SCA Score: 80"
6,6,6,1,86,30,"Brazil Central Plateau","Washed","SCA Score: 80"
2,6,6,2,86,30,"Brazil Central Plateau","Natural","SCA Score: 80"
5,6,6,3,86,11,"Brazil Central Plateau","Washed","SCA Score: 80"
11,6,7,1,87,11,"Colombia Cauca","Natural","SCA Score: 90"
12,6,7,2,87,30,"Colombia Cauca","Natural","SCA Score: 90"
6,6,7,3,87,30,"Brazil Central Plateau","Washed","SCA Score: 80"
16,6,8,1,88,30,"Colombia Cauca","Washed","SCA Score: 90"
1,6,8,2,88,11,"Brazil Central Plateau","Natural","SCA Score: 80"
15,6,8,3,88,11,"Colombia Cauca","Washed","SCA Score: 90"
9,6,9,1,89,11,"Brazil Central Plateau","Natural","SCA Score: 90"
5,6,9,2,89,11,"Brazil Central Plateau","Washed","SCA Score: 80"
14,6,9,3,89,30,"Brazil Central Plateau","Washed","SCA Score: 90"
15,6,10,1,90,11,"Colombia Cauca","Washed","SCA Score: 90"
9,6,10,2,90,11,"Brazil Central Plateau","Natural","SCA Score: 90"
13,6,10,3,90,11,"Brazil Central Plateau","Washed","SCA Score: 90"
1,6,11,1,91,11,"Brazil Central Plateau","Natural","SCA Score: 80"
14,6,11,2,91,30,"Brazil Central Plateau","Washed","SCA Score: 90"
12,6,11,3,91,30,"Colombia Cauca","Natural","SCA Score: 90"
10,6,12,1,92,30,"Brazil Central Plateau","Natural","SCA Score: 90"
13,6,12,2,92,11,"Brazil Central Plateau","Washed","SCA Score: 90"
4,6,12,3,92,30,"Colombia Cauca","Natural","SCA Score: 80"
7,6,13,1,93,11,"Colombia Cauca","Washed","SCA Score: 80"
15,6,13,2,93,11,"Colombia Cauca","Washed","SCA Score: 90"
16,6,13,3,93,30,"Colombia Cauca","Washed","SCA Score: 90"
12,6,14,1,94,30,"Colombia Cauca","Natural","SCA Score: 90"
4,6,14,2,94,30,"Colombia Cauca","Natural","SCA Score: 80"
3,6,14,3,94,11,"Colombia Cauca","Natural","SCA Score: 80"
5,6,15,1,95,11,"Brazil Central Plateau","Washed","SCA Score: 80"
11,6,15,2,95,11,"Colombia Cauca","Natural","SCA Score: 90"
10,6,15,3,95,30,"Brazil Central Plateau","Natural","SCA Score: 90"
13,6,16,1,96,11,"Brazil Central Plateau","Washed","SCA Score: 90"
7,6,16,2,96,11,"Colombia Cauca","Washed","SCA Score: 80"
11,6,16,3,96,11,"Colombia Cauca","Natural","SCA Score: 90"
3,7,1,1,97,11,"Colombia Cauca","Natural","SCA Score: 80"
8,7,1,2,97,30,"Colombia Cauca","Washed","SCA Score: 80"
9,7,1,3,97,11,"Brazil Central Plateau","Natural","SCA Score: 90"
14,7,2,1,98,30,"Brazil Central Plateau","Washed","SCA Score: 90"
3,7,2,2,98,11,"Colombia Cauca","Natural","SCA Score: 80"
1,7,2,3,98,11,"Brazil Central Plateau","Natural","SCA Score: 80"
2,7,3,1,99,30,"Brazil Central Plateau","Natural","SCA Score: 80"
16,7,3,2,99,30,"Colombia Cauca","Washed","SCA Score: 90"
8,7,3,3,99,30,"Colombia Cauca","Washed","SCA Score: 80"
4,7,4,1,100,30,"Colombia Cauca","Natural","SCA Score: 80"
10,7,4,2,100,30,"Brazil Central Plateau","Natural","SCA Score: 90"
2,7,4,3,100,30,"Brazil Central Plateau","Natural","SCA Score: 80"
8,7,5,1,101,30,"Colombia Cauca","Washed","SCA Score: 80"
6,7,5,2,101,30,"Brazil Central Plateau","Washed","SCA Score: 80"
7,7,5,3,101,11,"Colombia Cauca","Washed","SCA Score: 80"
6,7,6,1,102,30,"Brazil Central Plateau","Washed","SCA Score: 80"
2,7,6,2,102,30,"Brazil Central Plateau","Natural","SCA Score: 80"
5,7,6,3,102,11,"Brazil Central Plateau","Washed","SCA Score: 80"
11,7,7,1,103,11,"Colombia Cauca","Natural","SCA Score: 90"
12,7,7,2,103,30,"Colombia Cauca","Natural","SCA Score: 90"
6,7,7,3,103,30,"Brazil Central Plateau","Washed","SCA Score: 80"
16,7,8,1,104,30,"Colombia Cauca","Washed","SCA Score: 90"
1,7,8,2,104,11,"Brazil Central Plateau","Natural","SCA Score: 80"
15,7,8,3,104,11,"Colombia Cauca","Washed","SCA Score: 90"
9,7,9,1,105,11,"Brazil Central Plateau","Natural","SCA Score: 90"
5,7,9,2,105,11,"Brazil Central Plateau","Washed","SCA Score: 80"
14,7,9,3,105,30,"Brazil Central Plateau","Washed","SCA Score: 90"
15,7,10,1,106,11,"Colombia Cauca","Washed","SCA Score: 90"
9,7,10,2,106,11,"Brazil Central Plateau","Natural","SCA Score: 90"
13,7,10,3,106,11,"Brazil Central Plateau","Washed","SCA Score: 90"
1,7,11,1,107,11,"Brazil Central Plateau","Natural","SCA Score: 80"
14,7,11,2,107,30,"Brazil Central Plateau","Washed","SCA Score: 90"
12,7,11,3,107,30,"Colombia Cauca","Natural","SCA Score: 90"
10,7,12,1,108,30,"Brazil Central Plateau","Natural","SCA Score: 90"
13,7,12,2,108,11,"Brazil Central Plateau","Washed","SCA Score: 90"
4,7,12,3,108,30,"Colombia Cauca","Natural","SCA Score: 80"
7,7,13,1,109,11,"Colombia Cauca","Washed","SCA Score: 80"
15,7,13,2,109,11,"Colombia Cauca","Washed","SCA Score: 90"
16,7,13,3,109,30,"Colombia Cauca","Washed","SCA Score: 90"
12,7,14,1,110,30,"Colombia Cauca","Natural","SCA Score: 90"
4,7,14,2,110,30,"Colombia Cauca","Natural","SCA Score: 80"
3,7,14,3,110,11,"Colombia Cauca","Natural","SCA Score: 80"
5,7,15,1,111,11,"Brazil Central Plateau","Washed","SCA Score: 80"
11,7,15,2,111,11,"Colombia Cauca","Natural","SCA Score: 90"
10,7,15,3,111,30,"Brazil Central Plateau","Natural","SCA Score: 90"
13,7,16,1,112,11,"Brazil Central Plateau","Washed","SCA Score: 90"
7,7,16,2,112,11,"Colombia Cauca","Washed","SCA Score: 80"
11,7,16,3,112,11,"Colombia Cauca","Natural","SCA Score: 90"
3,8,1,1,113,11,"Colombia Cauca","Natural","SCA Score: 80"
8,8,1,2,113,30,"Colombia Cauca","Washed","SCA Score: 80"
9,8,1,3,113,11,"Brazil Central Plateau","Natural","SCA Score: 90"
14,8,2,1,114,30,"Brazil Central Plateau","Washed","SCA Score: 90"
3,8,2,2,114,11,"Colombia Cauca","Natural","SCA Score: 80"
1,8,2,3,114,11,"Brazil Central Plateau","Natural","SCA Score: 80"
2,8,3,1,115,30,"Brazil Central Plateau","Natural","SCA Score: 80"
16,8,3,2,115,30,"Colombia Cauca","Washed","SCA Score: 90"
8,8,3,3,115,30,"Colombia Cauca","Washed","SCA Score: 80"
4,8,4,1,116,30,"Colombia Cauca","Natural","SCA Score: 80"
10,8,4,2,116,30,"Brazil Central Plateau","Natural","SCA Score: 90"
2,8,4,3,116,30,"Brazil Central Plateau","Natural","SCA Score: 80"
8,8,5,1,117,30,"Colombia Cauca","Washed","SCA Score: 80"
6,8,5,2,117,30,"Brazil Central Plateau","Washed","SCA Score: 80"
7,8,5,3,117,11,"Colombia Cauca","Washed","SCA Score: 80"
6,8,6,1,118,30,"Brazil Central Plateau","Washed","SCA Score: 80"
2,8,6,2,118,30,"Brazil Central Plateau","Natural","SCA Score: 80"
5,8,6,3,118,11,"Brazil Central Plateau","Washed","SCA Score: 80"
11,8,7,1,119,11,"Colombia Cauca","Natural","SCA Score: 90"
12,8,7,2,119,30,"Colombia Cauca","Natural","SCA Score: 90"
6,8,7,3,119,30,"Brazil Central Plateau","Washed","SCA Score: 80"
16,8,8,1,120,30,"Colombia Cauca","Washed","SCA Score: 90"
1,8,8,2,120,11,"Brazil Central Plateau","Natural","SCA Score: 80"
15,8,8,3,120,11,"Colombia Cauca","Washed","SCA Score: 90"
9,8,9,1,121,11,"Brazil Central Plateau","Natural","SCA Score: 90"
5,8,9,2,121,11,"Brazil Central Plateau","Washed","SCA Score: 80"
14,8,9,3,121,30,"Brazil Central Plateau","Washed","SCA Score: 90"
15,8,10,1,122,11,"Colombia Cauca","Washed","SCA Score: 90"
9,8,10,2,122,11,"Brazil Central Plateau","Natural","SCA Score: 90"
13,8,10,3,122,11,"Brazil Central Plateau","Washed","SCA Score: 90"
1,8,11,1,123,11,"Brazil Central Plateau","Natural","SCA Score: 80"
14,8,11,2,123,30,"Brazil Central Plateau","Washed","SCA Score: 90"
12,8,11,3,123,30,"Colombia Cauca","Natural","SCA Score: 90"
10,8,12,1,124,30,"Brazil Central Plateau","Natural","SCA Score: 90"
13,8,12,2,124,11,"Brazil Central Plateau","Washed","SCA Score: 90"
4,8,12,3,124,30,"Colombia Cauca","Natural","SCA Score: 80"
7,8,13,1,125,11,"Colombia Cauca","Washed","SCA Score: 80"
15,8,13,2,125,11,"Colombia Cauca","Washed","SCA Score: 90"
16,8,13,3,125,30,"Colombia Cauca","Washed","SCA Score: 90"
12,8,14,1,126,30,"Colombia Cauca","Natural","SCA Score: 90"
